date	title	artist	rank
3/11/1995	Wild Night	John Mellencamp With Me'Shell Ndegeocello	49.00
3/18/1995	All I Wanna Do	Sheryl Crow	50.00
3/18/1995	Be Happy	Mary J. Blige	86.00
3/18/1995	Can I Stay With You	Karyn White	95.00
3/18/1995	Can't Wait	Redman	100.00
3/18/1995	Cocktales	Too $hort	99.00
3/18/1995	I Apologize	Anita Baker	97.00
3/18/1995	Release Yo' Delf	Method Man	98.00
3/18/1995	You Want This/70's Love Groove	Janet Jackson	49.00
3/25/1995	Bring The Pain	Method Man	89.00
3/25/1995	I'll Make Love To You	Boyz II Men	49.00
3/25/1995	Nika	Vicious	99.00
3/25/1995	Tootsee Roll	69 Boyz	50.00
3/25/1995	What I Need	Crystal Waters	95.00
3/25/1995	Where I Wanna Be Boy	Missjones	100.00
3/25/1995	Woman To Woman	Jewell	91.00
4/1/1995	100% Pure Love	Crystal Waters	50.00
4/1/1995	Foolin' Around	Changing Faces	96.00
4/1/1995	Short Dick Man	20 Fingers Featuring Gillette	46.00
4/1/1995	"Whiney, Whiney (From ""Dumb And Dumber"")"	Willi One Blood	99.00
4/8/1995	Always And Forever	Luther Vandross	98.00
4/8/1995	Constantly	Immature	62.00
4/8/1995	"Here Comes The Hotstepper (From ""Ready To Wear"")"	Ini Kamoze	49.00
4/8/1995	I Wanna Be Down	Brandy	50.00
4/8/1995	Mental Picture	Jon Secada	64.00
4/8/1995	Purple Medley	Prince	95.00
4/8/1995	Sour Times (Nobody Loves Me)	Portishead	100.00
4/15/1995	House Of Love	Amy Grant With Vince Gill	49.00
4/15/1995	I Miss You	N2U	52.00
4/15/1995	Mishale	Andru Donalds	100.00
4/15/1995	Pimp Of The Year	Dru Down	97.00
4/15/1995	She's A River	Simple Minds	93.00
4/15/1995	The Sweetest Days	Vanessa Williams	50.00
4/15/1995	Whutcha Want?	Nine	99.00
4/22/1995	Bang And Blame	R.E.M.	100.00
4/22/1995	Before I Let You Go	BLACKstreet	50.00
4/22/1995	Every Day Of The Week	Jade	47.00
4/22/1995	Kitty Kitty	69 Boyz	99.00
4/22/1995	Mad Izm	Channel Live	90.00
4/22/1995	People Don't Believe	Scarface Feat. Ice Cube	94.00
4/22/1995	Promise Me	Lil Suzy	97.00
4/22/1995	Sukiyaki	4PM	49.00
4/29/1995	Come On	Barry White	100.00
4/29/1995	Love The One You're With/Going In Circles	Luther Vandross	99.00
4/29/1995	She Don't Use Jelly	The Flaming Lips	97.00
4/29/1995	Shook Ones Part II	Mobb Deep	98.00
4/29/1995	You Don't Know How It Feels	Tom Petty	50.00
5/6/1995	Always	Bon Jovi	44.00
5/6/1995	Get Lifted	Keith Murray	97.00
5/6/1995	Get Ready For This	2 Unlimited	49.00
5/6/1995	I'm The Only One	Melissa Etheridge	46.00
5/6/1995	Let's Get It On	Shabba Ranks	99.00
5/6/1995	Tour	Capleton	100.00
5/13/1995	Baby It's You	The Beatles	99.00
5/13/1995	Come Back	Londonbeat	100.00
5/13/1995	Get Down	Craig Mack	92.00
5/13/1995	The Keeper Of The Stars	Tracy Byrd	89.00
5/13/1995	The Rhythm Of The Night	Corona	50.00
5/20/1995	(She's Got) Skillz	All-4-One	71.00
5/20/1995	How Did I Get By Without You?	John Waite	100.00
5/20/1995	On Bended Knee	Boyz II Men	46.00
5/20/1995	Rainy Days	General Public	97.00
5/20/1995	So Help Me Girl	Joe Diffie	99.00
5/27/1995	1-Luv	E-40 (Featuring Leviti)	93.00
5/27/1995	Foe Tha Love Of $	Bone Thugs-N-Harmony Featuring Eazy-E	98.00
5/27/1995	I Don't Mind	Immature	99.00
5/27/1995	Just Roll	Fabu	97.00
5/27/1995	Move It To The Rhythm	Technotronic Featuring Ya Kid K	94.00
5/27/1995	Universal Heart-Beat	Juliana Hatfield	96.00
6/3/1995	Bedtime Story	Madonna	99.00
6/3/1995	For Your Love	Stevie Wonder	90.00
6/3/1995	If You Think You're Lonely Now	K-Ci Hailey	94.00
6/3/1995	Safe + Sound	DJ Quik	97.00
6/3/1995	What Mattered Most	Ty Herndon	98.00
6/10/1995	Brooklyn Zoo	Ol' Dirty Bastard	97.00
6/10/1995	Everlasting Love	Gloria Estefan	77.00
6/10/1995	Feel So High	Des'ree	92.00
6/10/1995	If You Love Me	Brownstone	44.00
6/10/1995	Rodeo	95 South	94.00
6/10/1995	Tell Me When	The Human League	89.00
6/10/1995	"You Got It (From ""Boys On The Side"")"	Bonnie Raitt	98.00
6/17/1995	Baby	Brandy	51.00
6/17/1995	Craziest	Naughty By Nature	99.00
6/17/1995	Creep	TLC	50.00
6/17/1995	Fat Boy	Max-A-Million	91.00
6/17/1995	Here & Now	Letters To Cleo	96.00
6/17/1995	It's Good To Be King	Tom Petty	88.00
6/17/1995	Lifestyles Of The Rich And Shameless	Lost Boyz	95.00
6/17/1995	Never Find Someone Like You	Keith Martin	97.00
6/17/1995	The Way That You Love	Vanessa Williams	90.00
6/17/1995	This Lil' Game We Play	Subway (Featuring 702)	57.00
6/24/1995	Big Poppa/Warning	The Notorious B.I.G.	49.00
6/24/1995	Candy Rain	Soul For Real	43.00
6/24/1995	Joy	BLACKstreet	94.00
6/24/1995	Move It Like This	K7	81.00
6/24/1995	Strong Enough	Sheryl Crow	50.00
6/24/1995	Think Of You	Usher	91.00
7/1/1995	Another Night	Real McCoy	49.00
7/1/1995	Lick It	Roula	99.00
7/1/1995	Like The Way I Do/If I Wanted To	Melissa Etheridge	66.00
7/1/1995	Mr. Personality	Gillette	97.00
7/1/1995	Until The End Of Time	Foreigner	93.00
7/1/1995	You Gotta Be	Des'ree	48.00
7/8/1995	I Live My Life For You	Firehouse	79.00
7/8/1995	I'll Be Around	Rappin' 4-Tay Featuring The Spinners	98.00
7/8/1995	I'm Goin' Down	Mary J. Blige	95.00
7/8/1995	Take A Bow	Madonna	44.00
7/8/1995	Thank You	Boyz II Men	91.00
7/15/1995	Crimson And Clover	SF Spanish Fly	97.00
7/15/1995	Dream About You/Funky Melody	Stevie B	47.00
7/15/1995	Fire	Subway	100.00
7/15/1995	"Freedom (From ""Panther"")"	Various Artists	98.00
7/22/1995	Believe	Elton John	60.00
7/22/1995	Cotton Eye Joe	Rednex	92.00
7/22/1995	Dear Mama/Old School	2Pac	64.00
7/22/1995	I'd Rather Be Alone	IV Xample	97.00
7/22/1995	Run Away	Real McCoy	53.00
7/29/1995	Bizarre Love Triangle	New Order	100.00
7/29/1995	Can't Stop My Heart From Loving You (The Rain Song)	Aaron Neville	99.00
7/29/1995	Close To You	Fun Factory	84.00
7/29/1995	Emotions	H-Town	92.00
7/29/1995	Hold On	Jamie Walters	41.00
7/29/1995	"Keep Their Heads Ringin' (From ""Friday"")"	Dr. Dre	49.00
7/29/1995	"No More ""I Love You's"""	Annie Lennox	45.00
7/29/1995	Red Light Special	TLC	50.00
8/5/1995	"Ask Of You (From ""Higher Learning"")"	Raphael Saadiq	83.00
8/5/1995	Can't Stop Lovin' You	Van Halen	75.00
8/5/1995	Grapevyne	Brownstone	95.00
8/5/1995	Hold My Hand	Hootie & The Blowfish	48.00
8/5/1995	I Kissed A Girl	Jill Sobule	99.00
8/5/1995	Strange Currencies	R.E.M.	100.00
8/5/1995	Vow	Garbage	97.00
8/5/1995	Wonderful	Adam Ant	94.00
8/12/1995	Connection	Elastica	99.00
8/12/1995	Give It 2 You	Da Brat	98.00
8/12/1995	How Deep Is Your Love	Portrait	100.00
8/12/1995	I Like It (I Wanna Be Where You Are)	Grand Puba	96.00
8/12/1995	I Saw You Dancing	Yaki-Da	86.00
8/12/1995	In The House Of Stone And Light	Martin Page	47.00
8/12/1995	Mind Blowin'	Smooth	92.00
8/12/1995	The I.N.C. Ride	Masta Ace Incorporated	91.00
8/19/1995	"Can't You See (From ""New Jersey Drive"")"	Total Featuring The Notorious B.I.G.	57.00
8/19/1995	Died In Your Arms	Intonation Featuring Joee	99.00
8/19/1995	Froggy Style	Nuttin' Nyce	94.00
8/19/1995	Leave Virginia Alone	Rod Stewart	100.00
8/26/1995	"Crazy Love (From ""Jason's Lyric"")"	Brian McKnight	77.00
8/26/1995	I Like	Kut Klose	71.00
8/26/1995	Listen Me Tic (Woyoi)	Ini Kamoze	100.00
8/26/1995	Shimmy Shimmy Ya	Ol' Dirty Bastard	95.00
8/26/1995	So In Love With You	U.N.V.	94.00
8/26/1995	Walking To Jerusalem	Tracy Byrd	99.00
9/2/1995	Baby Baby	Corona	95.00
9/2/1995	Foe Life	Mack 10	96.00
9/2/1995	Freak Like Me	Adina Howard	46.00
9/2/1995	Freak Me Baby	"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock"	98.00
9/2/1995	Not Enough	Van Halen	100.00
9/2/1995	Survival Of The Fittest	Mobb Deep	97.00
9/2/1995	Warm Summer Daze	Vybe	99.00
9/9/1995	Glaciers Of Ice/Criminology	Chef Raekwon	96.00
9/9/1995	I Wanna Love Like That	Tony Thompson	95.00
9/9/1995	My Love Is For Real	Paula Abdul	99.00
9/9/1995	"Remember Me This Way (From ""Casper"")"	Jordan Hill	97.00
9/9/1995	This Is How We Do It	Montell Jordan	48.00
9/9/1995	When You Say Nothing At All	Alison Krauss + Union Station	100.00
9/16/1995	Hey Man Nice Shot	Filter	99.00
9/16/1995	I Believe	Blessid Union Of Souls	49.00
9/16/1995	I'll Be There For You/You're All I Need To Get By	Method Man Featuring Mary J. Blige	65.00
9/16/1995	Made In England	Elton John	86.00
9/16/1995	My Up And Down	Adina Howard	98.00
9/16/1995	Sprinkle Me	E-40 (Featuring Suga T)	90.00
9/16/1995	Stutter	Elastica	100.00
9/23/1995	Awake	Letters To Cleo	98.00
9/23/1995	Big Yellow Taxi	Amy Grant	97.00
9/23/1995	Have You Ever Really Loved A Woman?	Bryan Adams	44.00
9/23/1995	Not On Your Love	Jeff Carson	99.00
9/23/1995	"Return Of The Crooklyn Dodgers (From ""Clockers"")"	Crooklyn Dodgers '95	100.00
9/23/1995	Take Your Time (Do It Right)	Max-A-Million	96.00
9/30/1995	Any Man Of Mine/Whose Bed Have Your Boots Been Under?	Shania Twain	95.00
9/30/1995	Human Nature	Madonna	98.00
9/30/1995	Keeper Of The Flame	Martin Page	97.00
9/30/1995	Misery	Soul Asylum	99.00
9/30/1995	Total Eclipse Of The Heart	Nicki French	50.00
10/7/1995	Girlstown	Super Cat	99.00
10/7/1995	Hey Now (Girls Just Want To Have Fun)	Cyndi Lauper	98.00
10/7/1995	I Can't Tell You Why	Brownstone	100.00
10/7/1995	Jeremy/Yellow Ledbetter	Pearl Jam	94.00
10/7/1995	Pull Up To The Bumper	Patra	86.00
10/7/1995	Scream/Childhood	Michael Jackson & Janet Jackson	89.00
10/7/1995	Sick Of Myself	Matthew Sweet	91.00
10/7/1995	So Many Tears	2Pac	96.00
10/7/1995	You Have The Right To Remain Silent	Perfect Stranger	92.00
10/14/1995	Best Friend	Brandy	67.00
10/14/1995	"Hold Me, Thrill Me, Kiss Me, Kill Me (From ""Batman Forever"")"	U2	95.00
10/14/1995	I Know	Dionne Farris	50.00
10/14/1995	On The Down Low	Brian McKnight	97.00
10/14/1995	Round & Round	Twinz	100.00
10/14/1995	Send Me On My Way	Rusted Root	99.00
10/14/1995	"Shy Guy (From ""Bad Boys"")"	Diana King	49.00
10/14/1995	We Must Be In Love	Pure Soul	96.00
10/21/1995	Come And Get Your Love	Real McCoy	69.00
10/21/1995	Feel Me Flow	Naughty By Nature	92.00
10/21/1995	Feels So Good	Xscape	96.00
10/21/1995	I Love You/You Bring Me Joy	Mary J. Blige	87.00
10/21/1995	Rock And Roll Is Dead	Lenny Kravitz	100.00
10/21/1995	Somebody's Crying	Chris Isaak	97.00
10/21/1995	The Hearts Filthy Lesson	David Bowie	98.00
10/21/1995	This Ain't A Love Song	Bon Jovi	90.00
10/21/1995	Walk In The Sun	Bruce Hornsby	94.00
10/28/1995	Every Little Thing I Do	Soul For Real	50.00
10/28/1995	Freek'n You	Jodeci	62.00
10/28/1995	I Wish	Skee-Lo	47.00
10/28/1995	"One Boy, One Girl"	Collin Raye	100.00
10/28/1995	The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads	99.00
10/28/1995	Tonight's The Night	BLACKstreet	98.00
11/4/1995	"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")"	Mary J. Blige	100.00
11/4/1995	Can't Cry Anymore	Sheryl Crow	99.00
11/4/1995	Crazy Cool	Paula Abdul	98.00
11/4/1995	Let Her Cry	Hootie & The Blowfish	45.00
11/4/1995	One More Chance/Stay With Me	The Notorious B.I.G.	57.00
11/4/1995	Sittin' On Chrome	Masta Ace Incorporated	97.00
11/4/1995	Temptations	2Pac	93.00
11/4/1995	Water Runs Dry	Boyz II Men	50.00
11/11/1995	Brown Sugar	D'Angelo	80.00
11/11/1995	Don't Take It Personal (Just One Of Dem Days)	Monica	37.00
11/11/1995	Downtown Venus	P.M. Dawn	96.00
11/11/1995	Good	Better Than Ezra	65.00
11/11/1995	Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John	98.00
11/11/1995	You Used To Love Me	Faith Evans	83.00
11/18/1995	He's Mine	MoKenStef	43.00
11/18/1995	"Jeeps, Lex Coups, Bimaz & Benz"	Lost Boyz	99.00
11/18/1995	MC's Act Like They Don't Know	KRS-One	100.00
11/18/1995	Someone To Love	Jon B. Featuring Babyface	49.00
11/18/1995	Somethin' 4 Da Honeyz	Montell Jordan	98.00
11/25/1995	"Colors Of The Wind (From ""Pocahontas"")"	Vanessa Williams	50.00
11/25/1995	I Got 5 On It	Luniz	41.00
11/25/1995	I Hate U	Prince	92.00
11/25/1995	Real Hip Hop	Das EFX	93.00
11/25/1995	Sugar Hill	AZ	68.00
12/2/1995	'Til You Do Me Right	After 7	49.00
12/2/1995	Bomdigi	Erick Sermon	97.00
12/2/1995	Boombastic/In The Summertime	Shaggy	47.00
12/2/1995	Can I Touch You...There?	Michael Bolton	91.00
12/2/1995	"How High (From ""The Show"")"	Redman/Method Man	94.00
12/2/1995	I Wanna B With U	Fun Factory	56.00
12/2/1995	Player's Anthem	Junior M.A.F.I.A.	95.00
12/2/1995	Vibin'	Boyz II Men	93.00
12/2/1995	West Up!	WC & The Maad Circle	100.00
12/9/1995	Forever Tonight	Peter Cetera & Crystal Bernard	97.00
12/9/1995	Funny How Time Flies	Intro	99.00
12/9/1995	Last Dayz	Onyx	100.00
12/9/1995	Liquid Swords	Genius/GZA	96.00
12/9/1995	Molly (Sixteen Candles)	Sponge	98.00
12/9/1995	Never Alone (Eeyore's Lullaby)	Tyler Collins	74.00
12/16/1995	"Feel The Funk (From ""Dangerous Minds"")"	Immature	97.00
12/16/1995	Let Me Be The One	Blessid Union Of Souls	49.00
12/16/1995	Lie To Me/Something For The Pain	Bon Jovi	99.00
12/16/1995	Rock Steady	Bonnie Raitt With Bryan Adams	89.00
12/23/1995	"A Girl Like You (From ""Empire Records"")"	Edwyn Collins	87.00
12/23/1995	Already Missing You	"Gerald Levert & Eddie Levert, Sr."	93.00
12/23/1995	Friends Of P.	The Rentals	92.00
12/23/1995	Heaven	Solo	94.00
12/23/1995	Runaway	The Corrs	100.00
12/23/1995	"Summertime In The LBC (From ""The Show"")"	The Dove Shack	98.00
12/30/1995	Gold	Prince	100.00
12/30/1995	I Can Love You Like That	All-4-One	48.00
12/30/1995	Wings Of The Morning	Capleton	94.00
1/6/1996	1st Of Tha Month	Bone Thugs-N-Harmony	97.00
1/6/1996	"I Like It, I Love It"	Tim McGraw	55.00
1/13/1996	Cold World	Genius/GZA Featuring Inspektah Deck	100.00
1/13/1996	Comedown	Bush	58.00
1/13/1996	Pretty Girl	Jon B	60.00
1/13/1996	You Are Not Alone	Michael Jackson	59.00
1/20/1996	Brokenhearted	Brandy	74.00
1/20/1996	Sentimental	Deborah Cox	94.00
1/20/1996	Sometimes I Miss You So Much (Dedicated To The Christ Consciousness)	P.M. Dawn	98.00
1/20/1996	"The Riddler (From ""Batman Forever"")"	Method Man	99.00
1/20/1996	You Put A Move On My Heart	Quincy Jones Introducing Tamia	100.00
1/27/1996	Ain't Nuthin' But A She Thing	Salt-N-Pepa	98.00
1/27/1996	Come With Me	Shai	66.00
1/27/1996	Runnin'	The Pharcyde	99.00
1/27/1996	Waterfalls	TLC	49.00
2/3/1996	A Mover La Colita	Artie The 1 Man Party	98.00
2/3/1996	Can't Be Really Gone	Tim McGraw	99.00
2/3/1996	December	Collective Soul	50.00
2/3/1996	Do You Sleep?	Lisa Loeb & Nine Stories	79.00
2/3/1996	East Side Rendezvous	Frost	100.00
2/3/1996	Hurricane	The Click	95.00
2/10/1996	(If You're Not In It For Love) I'm Outta Here!/The Woman In Me	Shania Twain	93.00
2/10/1996	Boom Boom Boom	The Outhere Brothers	81.00
2/10/1996	Daughter/Yellow Ledbetter	Pearl Jam	99.00
2/10/1996	I Remember	Boyz II Men	97.00
2/10/1996	I'll Be There For You/This House Is Not A Home	The Rembrandts	63.00
2/10/1996	Incarcerated Scarfaces/Ice Cream	Raekwon	100.00
2/10/1996	Rosealia	Better Than Ezra	98.00
2/10/1996	Throw Your Set In The Air	Cypress Hill	95.00
2/17/1996	Danger	Blahzay Blahzay	76.00
2/17/1996	Fast Life	Kool G Rap	100.00
2/17/1996	Solitude	Edwin McCain	89.00
2/24/1996	Automatic Lover (Call For Love)	Real McCoy	99.00
2/24/1996	Cell Therapy	Goodie Mob	72.00
2/24/1996	Kiss From A Rose	Seal	48.00
2/24/1996	Magic Carpet Ride	The Mighty Dub Katz	96.00
2/24/1996	Run-Around	Blues Traveler	50.00
2/24/1996	Runaway	Janet Jackson	49.00
2/24/1996	Who Can I Run To	Xscape	78.00
3/2/1996	Back For Good	Take That	48.00
3/2/1996	Carnival	Natalie Merchant	44.00
3/2/1996	Cruisin'	D'Angelo	94.00
3/2/1996	East 1999	Bone Thugs-N-Harmony	99.00
3/2/1996	Hooked On You	Silk	95.00
3/2/1996	I'd Lie For You (And That's The Truth)	Meat Loaf	96.00
3/2/1996	Microphone Master	Das EFX (Featuring Mobb Deep)	100.00
3/2/1996	Throw Your Hands Up	L.V.	98.00
3/2/1996	When Love & Hate Collide	Def Leppard	97.00
3/9/1996	Dreaming Of You	Selena	61.00
3/9/1996	Everybody Be Somebody	Ruffneck Featuring Yavahn	96.00
3/9/1996	Free As A Bird	The Beatles	99.00
3/9/1996	Get Together	Big Mountain	100.00
3/9/1996	"I Miss You (Come Back Home) (From ""New York Undercover"")"	Monifah	77.00
3/9/1996	Just Tah Let U Know	Eazy-E	97.00
3/9/1996	Not A Dry Eye In The House	Meat Loaf	98.00
3/9/1996	Only Wanna Be With You	Hootie & The Blowfish	49.00
3/9/1996	Roll To Me	Del Amitri	48.00
3/9/1996	We've Got It Goin' On	Backstreet Boys	95.00
3/16/1996	Blessed	Elton John	53.00
3/16/1996	Energy	Devone	98.00
3/16/1996	Fantasy	Mariah Carey	47.00
3/16/1996	Love U 4 Life	Jodeci	70.00
3/16/1996	Promises Broken	Soul Asylum	93.00
3/16/1996	Sexual Healing	Max-A-Million	79.00
3/16/1996	Too Hot	Coolio	90.00
3/16/1996	Where Ever You Are	Terry Ellis	92.00
3/23/1996	Beautiful Life	Ace Of Base	75.00
3/23/1996	Bullet With Butterfly Wings	The Smashing Pumpkins	67.00
3/23/1996	Leflaur Leflah Eshkushka	Heltah Skeltah And O.G.C. As The Fab 5	99.00
3/30/1996	All Cried Out	Denine With Collage's Adam Marano	98.00
3/30/1996	As I Lay Me Down	Sophie B. Hawkins	50.00
3/30/1996	Celebration/Take Your Chance	Fun Factory	99.00
3/30/1996	Diggin' On You	TLC	54.00
3/30/1996	Let Your Soul Be Your Pilot	Sting	97.00
3/30/1996	Ridin' Low	L.A.D.	84.00
3/30/1996	You Remind Me Of Something	R. Kelly	100.00
4/6/1996	Ain't Nobody	Diana King	100.00
4/6/1996	Everyday & Everynight	Yvette Michele	90.00
4/6/1996	Hey Lover	LL Cool J	42.00
4/6/1996	It Matters To Me	Faith Hill	99.00
4/6/1996	Tell Me	Groove Theory	45.00
4/13/1996	'Round We Go	Big Sister	100.00
4/13/1996	Caught A Lite Sneeze	Tori Amos	90.00
4/13/1996	"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")"	Whitney Houston	45.00
4/13/1996	Funkorama	Redman	94.00
4/13/1996	Physical Funk	Domino	97.00
4/13/1996	Set U Free	Planet Soul	50.00
4/20/1996	Breakfast At Tiffany's	Deep Blue Something	46.00
4/20/1996	Let's Play House	Tha Dogg Pound Featuring Michel'le	97.00
4/20/1996	"Natural One (From ""Kids"")"	Folk Implosion	77.00
4/20/1996	Soon As I Get Home	Faith Evans	86.00
4/20/1996	Tonite's Tha Night	Kris Kross	61.00
4/20/1996	"Visions Of A Sunset (From ""Mr. Holland's Opus"")"	Shawn Stockman	95.00
4/20/1996	We Got It	Immature (Featuring Smooth)	82.00
4/20/1996	You'll See	Madonna	78.00
4/27/1996	Before You Walk Out Of My Life/Like This And Like That	Monica	48.00
4/27/1996	"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")"	L.B.C. Crew Feat. Tray D & South Sentrell	97.00
4/27/1996	Drop	The Pharcyde	100.00
4/27/1996	Keep Tryin'	Groove Theory	93.00
4/27/1996	La Familia	Frost	98.00
4/27/1996	No One Else	Total	55.00
4/27/1996	Scent Of Attraction	Patra Duet With Aaron Hall	99.00
5/4/1996	Envy/Firewater	Fat Joe	99.00
5/4/1996	"Gangsta's Paradise (From ""Dangerous Minds"")"	Coolio Featuring L.V.	50.00
5/4/1996	High And Dry	Radiohead	95.00
5/4/1996	I Got Id/Long Road	Pearl Jam	82.00
5/4/1996	One Of Us	Joan Osborne	42.00
5/4/1996	Real Love	The Beatles	88.00
5/4/1996	Stairway To Heaven	Pure Soul	98.00
5/4/1996	Time	Hootie & The Blowfish	44.00
5/4/1996	Where Do U Want Me To Put It	Solo	100.00
5/11/1996	Ain't No Playa	Rappin' 4-Tay	97.00
5/11/1996	"Can't Be Wasting My Time (From ""Don't Be A Menace..."")"	Mona Lisa Featuring Lost Boyz	98.00
5/11/1996	Fu-Gee-La	Fugees	56.00
5/11/1996	Give Me...A Reason	Buffy	99.00
5/11/1996	Only Love (The Ballad Of Sleeping Beauty)	Sophie B. Hawkins	100.00
5/11/1996	Stayin' Alive	N-Trance	94.00
5/11/1996	Take A Look	J'Son	93.00
5/18/1996	Anything	3T	47.00
5/18/1996	Don't Rush	Silk	100.00
5/25/1996	Have I Never	A Few Good Men	98.00
5/25/1996	Hook	Blues Traveler	50.00
5/25/1996	Jesus To A Child	George Michael	97.00
5/25/1996	No More Games	Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A.	99.00
5/25/1996	Soul Food	Goodie Mob	100.00
6/1/1996	Cumbersome	Seven Mary Three	77.00
6/1/1996	"Hoop In Yo Face (From ""Sunset Park"")"	69 Boyz Featuring Quad City DJ's	100.00
6/1/1996	I Don't Wanna Be Alone	Shai	99.00
6/1/1996	One Sweet Day	Mariah Carey & Boyz II Men	45.00
6/1/1996	The 13th	The Cure	98.00
6/8/1996	Feels So Good (Show Me Your Love)	Lina Santiago	84.00
6/8/1996	Glycerine	Bush	89.00
6/8/1996	Love Don't Live Here Anymore	Madonna	100.00
6/8/1996	"Not Gon' Cry (From ""Waiting To Exhale"")"	Mary J. Blige	61.00
6/8/1996	Peaches	The Presidents Of The United States Of America	99.00
6/8/1996	Wonderwall	Oasis	74.00
6/15/1996	Ever Since You Went Away	Art N' Soul	96.00
6/15/1996	"Let's Lay Together (From ""Don't Be A Menace..."")"	The Isley Brothers	99.00
6/15/1996	Lucky Love	Ace Of Base	88.00
6/15/1996	Name	Goo Goo Dolls	46.00
6/15/1996	One For The Money	Horace Brown	89.00
6/15/1996	Slow Jams	Quincy Jones Feat. Babyface & Tamia With Portrai	100.00
6/15/1996	The World Is A Ghetto	Geto Boys Featuring Flaj	92.00
6/15/1996	Who Do U Love	Deborah Cox	61.00
6/22/1996	"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")"	Joe	52.00
6/22/1996	Do You Want To/Can't Hang	Xscape Featuring MC Lyte	91.00
6/22/1996	Dreamer	Livin' Joy	99.00
6/22/1996	Esa Nena Linda	Artie The 1 Man Party	100.00
6/22/1996	Get Money	Junior M.A.F.I.A. Featuring The Notorious B.I.G.	40.00
6/22/1996	Scary Kisses	Voice Of The Beehive	96.00
6/29/1996	"A Thin Line Between Love & Hate (From ""A Thin Line..."")"	H-Town	88.00
6/29/1996	Don't Cry	Seal	59.00
6/29/1996	Heartspark Dollarsign	Everclear	98.00
6/29/1996	I Want To Come Over	Melissa Etheridge	64.00
6/29/1996	I Will Survive	Chantay Savage	95.00
6/29/1996	Just A Girl	No Doubt	50.00
6/29/1996	Live And Die For Hip Hop	Kris Kross	100.00
6/29/1996	Shadowboxin'	Genius/GZA Featuring Method Man	97.00
7/6/1996	1979	The Smashing Pumpkins	47.00
7/6/1996	Boom Biddy Bye Bye	Cypress Hill	98.00
7/6/1996	Chains	Tina Arena	90.00
7/6/1996	Feel The Music	Planet Soul Featuring Brenda Dee	97.00
7/6/1996	Mr. Ice Cream Man	Master P	100.00
7/6/1996	The World I Know	Collective Soul	49.00
7/13/1996	5 O'Clock	Nonchalant	100.00
7/13/1996	Amish Paradise	"""Weird Al"" Yankovic"	98.00
7/13/1996	Down Low (Nobody Has To Know)	R. Kelly Featuring Ronald Isley	62.00
7/13/1996	Lady	D'Angelo	97.00
7/13/1996	My Maria	Brooks & Dunn	99.00
7/13/1996	Your Loving Arms	Billie Ray Martin	50.00
7/20/1996	"Closer To Free (From ""Party Of Five"")"	BoDeans	57.00
7/20/1996	Doin It	LL Cool J	96.00
7/20/1996	Don't Wanna Lose You	Lionel Richie	97.00
7/20/1996	Only Happy When It Rains	Garbage	92.00
7/20/1996	Renee	Lost Boyz	98.00
7/20/1996	Woo-Hah!! Got You All In Check/Everything Remains Raw	Busta Rhymes	78.00
7/20/1996	You Said	Mona Lisa	99.00
7/27/1996	"1, 2, 3, 4 (Sumpin' New)"	Coolio	50.00
7/27/1996	Ain't Nobody/Kissing You	Faith Evans	100.00
7/27/1996	Be My Lover	La Bouche	49.00
7/27/1996	For The Love Of You	Jordan Hill	96.00
7/27/1996	"Keep On, Keepin' On (From ""Sunset Park"")"	MC Lyte Featuring Xscape	67.00
7/27/1996	Please Don't Go	Immature	91.00
8/3/1996	Can't Get You Off My Mind	Lenny Kravitz	98.00
8/3/1996	"Count On Me (From ""Waiting To Exhale"")"	Whitney Houston & CeCe Winans	66.00
8/3/1996	Hang 'Em High	Sadat X	100.00
8/3/1996	Release Me	Angelina	92.00
8/3/1996	Wrong	Everything But The Girl	99.00
8/10/1996	Forever More	Puff Johnson	96.00
8/10/1996	House Keeper	Men Of Vizion	87.00
8/10/1996	Never Too Busy	Kenny Lattimore	94.00
8/10/1996	"Scarred (From ""Eddie"")"	Luke	98.00
8/10/1996	"Sittin' Up In My Room (From ""Waiting To Exhale"")"	Brandy	46.00
8/10/1996	The Only Thing That Looks Good On Me Is You	Bryan Adams	100.00
8/10/1996	Things We Do For Love	Horace Brown	95.00
8/10/1996	You Still Touch Me	Sting	89.00
8/17/1996	Ain't No Nigga/Dead Presidents	Jay-Z Featuring Foxxy Brown	69.00
8/17/1996	Back To The World	Tevin Campbell	99.00
8/17/1996	In The Meantime	Spacehog	95.00
8/17/1996	Mint Car	The Cure	92.00
8/17/1996	Waiting For Wednesday	Lisa Loeb & Nine Stories	100.00
8/24/1996	"Guilty (From ""Seven"")"	Gravity Kills	99.00
8/24/1996	In The Hood	Donell Jones	91.00
8/24/1996	"Machinehead (From ""Fear"")"	Bush	96.00
8/24/1996	Missing	Everything But The Girl	47.00
8/24/1996	Paparazzi	Xzibit	90.00
